experiment,panel,sample_type,sample_num,label,position_relative_to_tes_bp,mean,ci_lower,ci_upper
SPAM,coverage,SN,1,NTVE-SN,-2995.0,0.38461982743281026,0.3458046780985156,0.4234349767671049
SPAM,coverage,SN,1,NTVE-SN,-2985.0,0.37708574845303033,0.3401474185759858,0.4140240783300749
SPAM,coverage,SN,1,NTVE-SN,-2975.0,0.36304941438989424,0.3313056035729989,0.3947932252067896
SPAM,coverage,SN,1,NTVE-SN,-2965.0,0.3559928892301565,0.3258650545368525,0.3861207239234605
SPAM,coverage,SN,1,NTVE-SN,-2955.0,0.3502748691805705,0.32097283477326866,0.3795769035878723
SPAM,coverage,SN,1,NTVE-SN,-2945.0,0.3364322004090232,0.30951660130550596,0.3633477995125405
SPAM,coverage,SN,1,NTVE-SN,-2935.0,0.33501028819738893,0.308335233197946,0.3616853431968319
SPAM,coverage,SN,1,NTVE-SN,-2925.0,0.33194222491531267,0.30586215722964005,0.3580222926009853
SPAM,coverage,SN,1,NTVE-SN,-2915.0,0.3348635413705708,0.3085312545169829,0.3611958282241587
SPAM,coverage,SN,1,NTVE-SN,-2905.0,0.33618449648891263,0.3098978987972459,0.3624710941805794
SPAM,coverage,SN,1,NTVE-SN,-2895.0,0.3325301566397174,0.3071424915366831,0.3579178217427517
SPAM,coverage,SN,1,NTVE-SN,-2885.0,0.3221444658586726,0.298338996866653,0.34594993485069225
SPAM,coverage,SN,1,NTVE-SN,-2875.0,0.32501296196531715,0.30122782384059144,0.34879810009004286
SPAM,coverage,SN,1,NTVE-SN,-2865.0,0.3246183167105868,0.30109307587296213,0.3481435575482114
SPAM,coverage,SN,1,NTVE-SN,-2855.0,0.32653404484599374,0.30282325339888627,0.3502448362931012
SPAM,coverage,SN,1,NTVE-SN,-2845.0,0.32984568126274494,0.30612076537345884,0.35357059715203104
SPAM,coverage,SN,1,NTVE-SN,-2835.0,0.3240806610005904,0.30120254914786226,0.34695877285331855
SPAM,coverage,SN,1,NTVE-SN,-2825.0,0.3186572711936836,0.29580361942505146,0.3415109229623157
SPAM,coverage,SN,1,NTVE-SN,-2815.0,0.31432639146348285,0.29193450272884364,0.33671828019812206
SPAM,coverage,SN,1,NTVE-SN,-2805.0,0.31092075674750613,0.2890441247463714,0.33279738874864084
SPAM,coverage,SN,1,NTVE-SN,-2795.0,0.3103102670273943,0.28849555368436974,0.3321249803704188
SPAM,coverage,SN,1,NTVE-SN,-2785.0,0.3149431971425277,0.2928668791510738,0.33701951513398165
SPAM,coverage,SN,1,NTVE-SN,-2775.0,0.3133833514889058,0.29120554607157095,0.3355611569062406
SPAM,coverage,SN,1,NTVE-SN,-2765.0,0.3093397130593636,0.28746412705183333,0.33121529906689384
SPAM,coverage,SN,1,NTVE-SN,-2755.0,0.3115548429714573,0.2896675821164184,0.3334421038264962
SPAM,coverage,SN,1,NTVE-SN,-2745.0,0.31329497206351326,0.29111077209306174,0.33547917203396477
SPAM,coverage,SN,1,NTVE-SN,-2735.0,0.31133508773459195,0.2895178411990946,0.3331523342700893
SPAM,coverage,SN,1,NTVE-SN,-2725.0,0.31371263864371257,0.2916734419345308,0.3357518353528943
SPAM,coverage,SN,1,NTVE-SN,-2715.0,0.31622887761284935,0.2940699797065541,0.3383877755191446
SPAM,coverage,SN,1,NTVE-SN,-2705.0,0.31738700439009593,0.29485797426468013,0.3399160345155117
SPAM,coverage,SN,1,NTVE-SN,-2695.0,0.3153298655971999,0.2932668999918059,0.3373928312025939
SPAM,coverage,SN,1,NTVE-SN,-2685.0,0.31437025528417334,0.2921242981643932,0.33661621240395345
SPAM,coverage,SN,1,NTVE-SN,-2675.0,0.30969496447678724,0.2875945608067333,0.3317953681468412
SPAM,coverage,SN,1,NTVE-SN,-2665.0,0.3073859232641978,0.2857372135877222,0.32903463294067337
SPAM,coverage,SN,1,NTVE-SN,-2655.0,0.30169270073876064,0.28094935659965503,0.32243604487786626
SPAM,coverage,SN,1,NTVE-SN,-2645.0,0.29901206797251206,0.2789553181490477,0.3190688177959764
SPAM,coverage,SN,1,NTVE-SN,-2635.0,0.2972193780634022,0.2772626353536273,0.31717612077317714
SPAM,coverage,SN,1,NTVE-SN,-2625.0,0.2960326618458763,0.27632429761951394,0.31574102607223864
SPAM,coverage,SN,1,NTVE-SN,-2615.0,0.29104988715975216,0.27182259130092873,0.3102771830185756
SPAM,coverage,SN,1,NTVE-SN,-2605.0,0.28521832931112506,0.26664421768473795,0.3037924409375122
SPAM,coverage,SN,1,NTVE-SN,-2595.0,0.2839197786754844,0.2656915793953703,0.3021479779555985
SPAM,coverage,SN,1,NTVE-SN,-2585.0,0.2808271546753595,0.2631532158626654,0.29850109348805365
SPAM,coverage,SN,1,NTVE-SN,-2575.0,0.2850695702939611,0.2671530567803689,0.3029860838075534
SPAM,coverage,SN,1,NTVE-SN,-2565.0,0.29099084642302325,0.27277618830832395,0.30920550453772255
SPAM,coverage,SN,1,NTVE-SN,-2555.0,0.2963403713942557,0.27768162447397204,0.3149991183145393
SPAM,coverage,SN,1,NTVE-SN,-2545.0,0.2963447940136564,0.2779069931820674,0.31478259484524534
SPAM,coverage,SN,1,NTVE-SN,-2535.0,0.3017908121342832,0.28338247572062725,0.3201991485479392
SPAM,coverage,SN,1,NTVE-SN,-2525.0,0.3051831812615055,0.28637200955048714,0.3239943529725239
SPAM,coverage,SN,1,NTVE-SN,-2515.0,0.30956582336504135,0.2903567660216516,0.3287748807084311
SPAM,coverage,SN,1,NTVE-SN,-2505.0,0.31766904025533416,0.2980656612267034,0.3372724192839649
SPAM,coverage,SN,1,NTVE-SN,-2495.0,0.32128189102709775,0.30141075132257933,0.3411530307316162
SPAM,coverage,SN,1,NTVE-SN,-2485.0,0.32282220826151853,0.30289351848400453,0.3427508980390325
SPAM,coverage,SN,1,NTVE-SN,-2475.0,0.3210610055217133,0.3012978401231511,0.3408241709202755
SPAM,coverage,SN,1,NTVE-SN,-2465.0,0.3208442533710381,0.30099349063356623,0.34069501610851
SPAM,coverage,SN,1,NTVE-SN,-2455.0,0.318113829284975,0.29844773522537826,0.33777992334457174
SPAM,coverage,SN,1,NTVE-SN,-2445.0,0.318624358924546,0.2990288203761765,0.3382198974729155
SPAM,coverage,SN,1,NTVE-SN,-2435.0,0.3149662443183165,0.29589166190057,0.334040826736063
SPAM,coverage,SN,1,NTVE-SN,-2425.0,0.31221049197605377,0.2926867777684203,0.33173420618368726
SPAM,coverage,SN,1,NTVE-SN,-2415.0,0.31766742026741474,0.297524044087612,0.33781079644721745
SPAM,coverage,SN,1,NTVE-SN,-2405.0,0.3177841608272608,0.2976378462724303,0.3379304753820913
SPAM,coverage,SN,1,NTVE-SN,-2395.0,0.32000881451858154,0.29948361555173947,0.3405340134854236
SPAM,coverage,SN,1,NTVE-SN,-2385.0,0.3224848058019109,0.30175103378846413,0.3432185778153577
SPAM,coverage,SN,1,NTVE-SN,-2375.0,0.32688834221983526,0.30579518106725306,0.34798150337241746
SPAM,coverage,SN,1,NTVE-SN,-2365.0,0.32436145220643947,0.3034184364029878,0.3453044680098911
SPAM,coverage,SN,1,NTVE-SN,-2355.0,0.3228553787880868,0.30197017649043817,0.3437405810857354
SPAM,coverage,SN,1,NTVE-SN,-2345.0,0.32130067499728293,0.30134530188717573,0.34125604810739013
SPAM,coverage,SN,1,NTVE-SN,-2335.0,0.320192500152936,0.3005721986750329,0.3398128016308391
SPAM,coverage,SN,1,NTVE-SN,-2325.0,0.31648146185977266,0.2972529281113044,0.33570999560824094
SPAM,coverage,SN,1,NTVE-SN,-2315.0,0.31346151862897637,0.2945501233143893,0.33237291394356344
SPAM,coverage,SN,1,NTVE-SN,-2305.0,0.31546312797809545,0.2967024820007472,0.33422377395544367
SPAM,coverage,SN,1,NTVE-SN,-2295.0,0.31456342713958885,0.2959840904546565,0.3331427638245212
SPAM,coverage,SN,1,NTVE-SN,-2285.0,0.3171067367856621,0.29896321738173254,0.33525025618959164
SPAM,coverage,SN,1,NTVE-SN,-2275.0,0.32125779010740224,0.3028269535242697,0.3396886266905348
SPAM,coverage,SN,1,NTVE-SN,-2265.0,0.32785616479450913,0.3090641991810049,0.34664813040801334
SPAM,coverage,SN,1,NTVE-SN,-2255.0,0.32950523679334054,0.3106486143391584,0.34836185924752266
SPAM,coverage,SN,1,NTVE-SN,-2245.0,0.331246791589257,0.31231601925317404,0.35017756392534
SPAM,coverage,SN,1,NTVE-SN,-2235.0,0.33202492911126164,0.3131320435012367,0.3509178147212866
SPAM,coverage,SN,1,NTVE-SN,-2225.0,0.33866898517566846,0.3192416034768608,0.3580963668744761
SPAM,coverage,SN,1,NTVE-SN,-2215.0,0.34402054404030336,0.3244119983691003,0.3636290897115064
SPAM,coverage,SN,1,NTVE-SN,-2205.0,0.3484524937391471,0.3285823406057776,0.3683226468725166
SPAM,coverage,SN,1,NTVE-SN,-2195.0,0.3550883042534501,0.33493775464870623,0.375238853858194
SPAM,coverage,SN,1,NTVE-SN,-2185.0,0.3546464530430632,0.3346664846971023,0.3746264213890241
SPAM,coverage,SN,1,NTVE-SN,-2175.0,0.3560540075135177,0.33586024932413117,0.3762477657029042
SPAM,coverage,SN,1,NTVE-SN,-2165.0,0.3536857209483332,0.3332119003099947,0.37415954158667175
SPAM,coverage,SN,1,NTVE-SN,-2155.0,0.35869058206468735,0.3380053947619347,0.37937576936744
SPAM,coverage,SN,1,NTVE-SN,-2145.0,0.3699590282520181,0.3489197726216935,0.3909982838823427
SPAM,coverage,SN,1,NTVE-SN,-2135.0,0.3756449148763254,0.35449151080255553,0.39679831895009526
SPAM,coverage,SN,1,NTVE-SN,-2125.0,0.37645021969893233,0.3553475037221131,0.39755293567575156
SPAM,coverage,SN,1,NTVE-SN,-2115.0,0.3804086537605679,0.3585654023881773,0.40225190513295855
SPAM,coverage,SN,1,NTVE-SN,-2105.0,0.3809265073304302,0.3591404376092143,0.4027125770516461
SPAM,coverage,SN,1,NTVE-SN,-2095.0,0.378373080523554,0.35713051395704387,0.39961564709006414
SPAM,coverage,SN,1,NTVE-SN,-2085.0,0.3829295769862189,0.36156672018969593,0.4042924337827418
SPAM,coverage,SN,1,NTVE-SN,-2075.0,0.38796722127483535,0.3664241749913143,0.4095102675583564
SPAM,coverage,SN,1,NTVE-SN,-2065.0,0.39598137798612265,0.37415947129058846,0.41780328468165684
SPAM,coverage,SN,1,NTVE-SN,-2055.0,0.4022933910838266,0.38012862999349595,0.4244581521741573
SPAM,coverage,SN,1,NTVE-SN,-2045.0,0.40514231240144255,0.3819696269272445,0.4283149978756406
SPAM,coverage,SN,1,NTVE-SN,-2035.0,0.4077990630211483,0.38473598168744266,0.430862144354854
SPAM,coverage,SN,1,NTVE-SN,-2025.0,0.41132842230622396,0.3880217979136357,0.4346350466988122
SPAM,coverage,SN,1,NTVE-SN,-2015.0,0.41554695613906417,0.39221195643891194,0.4388819558392164
SPAM,coverage,SN,1,NTVE-SN,-2005.0,0.41618812883018497,0.3926960741192284,0.4396801835411415
SPAM,coverage,SN,1,NTVE-SN,-1995.0,0.42167802475733357,0.3979498347920451,0.44540621472262204
SPAM,coverage,SN,1,NTVE-SN,-1985.0,0.4229133470370066,0.3994877232402633,0.4463389708337499
SPAM,coverage,SN,1,NTVE-SN,-1975.0,0.42418687593941606,0.40104397725759006,0.44732977462124207
SPAM,coverage,SN,1,NTVE-SN,-1965.0,0.42560875871514714,0.4028396219529273,0.448377895477367
SPAM,coverage,SN,1,NTVE-SN,-1955.0,0.4280622007359864,0.40532017513044943,0.45080422634152334
SPAM,coverage,SN,1,NTVE-SN,-1945.0,0.42700704635883024,0.40443715001755676,0.44957694270010373
SPAM,coverage,SN,1,NTVE-SN,-1935.0,0.42930907991412137,0.4064313950439816,0.4521867647842611
SPAM,coverage,SN,1,NTVE-SN,-1925.0,0.42730165595700753,0.4042006338731207,0.45040267804089434
